  firstName  |   lastName   | rentals |  paid  
-------------+--------------+---------+--------
 Karl        | Seal         |      45 | 221.55
 Eleanor     | Hunt         |      46 | 216.54
 Clara       | Shaw         |      42 | 195.58
 Rhonda      | Kennedy      |      39 | 194.61
 Marion      | Snyder       |      39 | 194.61
 Tommy       | Collazo      |      38 | 186.62
 Wesley      | Bull         |      40 | 177.60
 Tim         | Cary         |      39 | 175.61
 Marcia      | Dean         |      42 | 175.58
 Ana         | Bradley      |      34 | 174.66
 June        | Carroll      |      37 | 173.63
 Lena        | Jensen       |      33 | 170.67
 Diane       | Collins      |      35 | 169.65
 Arnold      | Havens       |      33 | 167.67
 Curtis      | Irby         |      38 | 167.62
 Mike        | Way          |      35 | 166.65
 Daisy       | Bates        |      38 | 162.62
 Tonya       | Chapman      |      32 | 161.68
 Louis       | Leone        |      35 | 161.65
 Gordon      | Allard       |      32 | 160.68
 Brittany    | Riley        |      28 | 159.72
 Guy         | Brownlee     |      32 | 159.68
 Warren      | Sherrod      |      33 | 159.67
 Margie      | Wade         |      36 | 159.64
 Mae         | Fletcher     |      31 | 158.69
 Steve       | Mackenzie    |      34 | 158.66
 Priscilla   | Lowe         |      35 | 157.65
 Harry       | Arce         |      35 | 157.65
 Arthur      | Simpkins     |      32 | 155.68
 Michelle    | Clark        |      35 | 155.65
 Tammy       | Sanders      |      41 | 155.59
 Sue         | Peters       |      40 | 154.60
 Sherry      | Marshall     |      34 | 153.66
 Neil        | Renner       |      32 | 152.68
 Shawn       | Heaton       |      33 | 152.67
 Jessica     | Hall         |      34 | 152.66
 Naomi       | Jennings     |      35 | 152.65
 Leslie      | Seward       |      35 | 152.65
 Brandon     | Huey         |      37 | 152.63
 Alex        | Gresham      |      33 | 151.67
 Maria       | Miller       |      33 | 151.67
 Stacey      | Montgomery   |      34 | 151.66
 Alma        | Austin       |      35 | 151.65
 Alexander   | Fennell      |      36 | 151.64
 Marsha      | Douglas      |      37 | 151.63
 Ralph       | Madrigal     |      34 | 150.66
 Billy       | Poulin       |      35 | 149.65
 Duane       | Tubbs        |      31 | 148.69
 Jacqueline  | Long         |      33 | 148.67
 Christopher | Greco        |      31 | 147.69
 Rosemary    | Schmidt      |      35 | 147.65
 Gladys      | Hamilton     |      31 | 146.69
 Zachary     | Hite         |      31 | 146.69
 Roger       | Quintanilla  |      36 | 146.64
 Wanda       | Patterson    |      30 | 145.70
 Nicholas    | Barfield     |      32 | 145.68
 Bernice     | Willis       |      33 | 145.67
 Troy        | Quigley      |      30 | 144.70
 Olga        | Jimenez      |      32 | 144.68
 Tanya       | Gilbert      |      33 | 144.67
 Janice      | Ward         |      34 | 144.66
 Elizabeth   | Brown        |      38 | 144.62
 Jerry       | Jordon       |      29 | 143.71
 Roy         | Whiting      |      29 | 143.71
 Sylvia      | Ortiz        |      32 | 143.68
 Ryan        | Salisbury    |      30 | 142.70
 Violet      | Rodriquez    |      30 | 142.70
 Minnie      | Romero       |      34 | 142.66
 Catherine   | Campbell     |      34 | 142.66
 Debra       | Nelson       |      29 | 141.71
 Greg        | Robins       |      30 | 141.70
 Lori        | Wood         |      31 | 141.69
 Sara        | Perry        |      33 | 141.67
 Jessie      | Milam        |      33 | 141.67
 Casey       | Mena         |      34 | 141.66
 Elsie       | Kelley       |      37 | 141.63
 Ramon       | Choate       |      31 | 140.69
 Glenda      | Frazier      |      32 | 140.68
 Angela      | Hernandez    |      36 | 140.64
 Jamie       | Rice         |      29 | 139.71
 Alvin       | Deloach      |      29 | 139.71
 Roberto     | Vu           |      30 | 139.70
 Stanley     | Scroggins    |      30 | 139.70
 Grace       | Ellis        |      33 | 139.67
 Morris      | Mccarter     |      34 | 139.66
 Joe         | Gilliland    |      29 | 138.71
 Maurice     | Crawley      |      29 | 138.71
 Charles     | Kowalski     |      32 | 138.68
 Alice       | Stewart      |      33 | 138.67
 Brett       | Cornwell     |      34 | 138.66
 Marilyn     | Ross         |      30 | 137.70
 John        | Farnsworth   |      31 | 137.69
 Ella        | Oliver       |      31 | 137.69
 Crystal     | Ford         |      33 | 137.67
 Gertrude    | Castillo     |      34 | 137.66
 Jeanne      | Lawson       |      27 | 136.73
 Russell     | Brinson      |      36 | 136.64
 Linda       | Williams     |      26 | 135.74
 Miriam      | Mckinney     |      26 | 135.74
 Jimmie      | Eggleston    |      28 | 135.72
 Miguel      | Betancourt   |      29 | 135.71
 Raymond     | Mcwhorter    |      30 | 135.70
 Gloria      | Cook         |      30 | 135.70
 Dianne      | Shelton      |      31 | 135.69
 Ethel       | Webb         |      32 | 135.68
 Javier      | Elrod        |      32 | 135.68
 Regina      | Berry        |      34 | 135.66
 Kent        | Arsenault    |      27 | 134.73
 Joseph      | Joy          |      30 | 134.70
 Julia       | Flores       |      32 | 134.68
 Dave        | Gardiner     |      32 | 134.68
 Mitchell    | Westmoreland |      32 | 134.68
 Helen       | Harris       |      32 | 134.68
 Barry       | Lovelace     |      33 | 134.67
 Jorge       | Olivares     |      34 | 134.66
 Don         | Bone         |      25 | 133.75
 Cheryl      | Murphy       |      27 | 133.73
 Nathaniel   | Adam         |      28 | 133.72
 Tina        | Simmons      |      28 | 133.72
 Dana        | Hart         |      29 | 133.71
 Jennie      | Terry        |      29 | 133.71
 Rosa        | Reynolds     |      30 | 133.70
 Bessie      | Morrison     |      28 | 132.72
 Steven      | Curley       |      29 | 132.71
 Ronald      | Weiner       |      30 | 132.70
 Tracy       | Cole         |      30 | 132.70
 Jordan      | Archuleta    |      30 | 132.70
 Courtney    | Day          |      32 | 132.68
 Karen       | Jackson      |      27 | 131.73
 James       | Gannon       |      30 | 131.70
 George      | Linton       |      33 | 131.67
 Kathryn     | Coleman      |      26 | 130.74
 Eduardo     | Hiatt        |      27 | 130.73
 Joyce       | Edwards      |      28 | 130.72
 Michele     | Grant        |      30 | 130.70
 Debbie      | Reyes        |      32 | 130.68
 Harold      | Martino      |      32 | 130.68
 Gilbert     | Sledge       |      28 | 129.72
 Tracy       | Herrmann     |      28 | 129.72
 Salvador    | Teel         |      30 | 129.70
 Cassandra   | Walters      |      30 | 129.70
 Kathy       | James        |      30 | 129.70
 Ramona      | Hale         |      30 | 129.70
 Virginia    | Green        |      32 | 129.68
 Viola       | Hanson       |      32 | 129.68
 Justin      | Ngo          |      36 | 129.64
 Patricia    | Johnson      |      27 | 128.73
 Eddie       | Tomlin       |      27 | 128.73
 Jason       | Morrissey    |      28 | 128.72
 Teresa      | Rogers       |      29 | 128.71
 Monica      | Hicks        |      30 | 128.70
 Sherri      | Rhodes       |      33 | 128.67
 Jim         | Rea          |      33 | 128.67
 Milton      | Howland      |      25 | 127.75
 Janet       | Phillips     |      27 | 127.73
 Michael     | Silverman    |      29 | 127.71
 Amy         | Lopez        |      29 | 127.71
 Terry       | Carlson      |      29 | 127.71
 Walter      | Perryman     |      30 | 127.70
